activation_required,activation_started_timestamp,activation_time_ms,cuda_initialization_ms,deactivation_required,deactivation_started_timestamp,deactivation_time_ms,deactivation_timestamp,details,endpoint_ready_ms,event,experiment,method,model_delete_ms,model_digest,model_load_ms,model_remote_download_ms,model_unload_ms,new_state,node,node_state,node_state_before,old_state,phase,physical_node,ready_timestamp,reason,source,timestamp,worker_lifecycle_note,worker_start_ms,worker_stop_ms
True,1788493144.0265746,1195.531,,,,,,,1195.528,activation,increasing,cached_on_demand,,baf6a787fdffd633537aa2eb51cfd54cb93ff08e28040095462bb63daf552878,1188.341,0.0,,,spark,ACTIVE,CACHED,,workload,etri-ser0002-cgnmsb,1788493145.2219915,offload:agx->spark:predicted_improvement=0.432,activations,1788493145.217757,,0.157,
,,,,True,1788493177.3625994,67.257,1788493177.4298575,,,deactivation,increasing,cached_on_demand,0.0,,,,62.404,,agx,CACHED,ACTIVE,,idle_release,etri-ser0001-cg0msb,,idle_timeout:30s,activations,1788493177.4303465,Ollama management daemon remains resident; inference runner is unloaded,1.309,62.404
,,,,,,,,,,,increasing,cached_on_demand,,,,,,ACTIVE,agx,,,CACHED,,etri-ser0001-cg0msb,,offload:nano->agx:predicted_improvement=0.412,state-transitions,1788493129.1561463,,,
,,,,,,,,,,,increasing,cached_on_demand,,,,,,ACTIVE,spark,,,CACHED,,etri-ser0002-cgnmsb,,offload:agx->spark:predicted_improvement=0.432,state-transitions,1788493145.2220001,,,
,,,,,,,,,,,increasing,cached_on_demand,,,,,,CACHED,agx,,,ACTIVE,,etri-ser0001-cg0msb,,idle_timeout:30s,state-transitions,1788493177.4298341,,,
,,,,,,,,"{""actions"": [{""activation_required"": true, ""activation_started_timestamp"": 1788492765.4992259, ""activation_time_ms"": 260.74, ""cuda_initialization_ms"": null, ""endpoint_ready_ms"": 260.737, ""model_digest"": ""baf6a787fdffd633537aa2eb51cfd54cb93ff08e28040095462bb63daf552878"", ""model_load_ms"": 247.719, ""model_remote_download_ms"": 0.0, ""node"": ""nano"", ""node_state"": ""ACTIVE"", ""node_state_before"": ""COLD"", ""ready_timestamp"": 1788492765.7595692, ""transition"": {""new_state"": ""ACTIVE"", ""node"": ""nano"", ""old_state"": ""COLD"", ""physical_node"": ""etri-dev0001-jetorn"", ""reason"": ""method_setup:cached_on_demand"", ""timestamp"": 1788492765.7595828}, ""worker_start_ms"": 2.037}, {""activation_required"": false, ""node"": ""agx"", ""node_state"": ""CACHED"", ""node_state_before"": ""CACHED""}, {""activation_required"": true, ""activation_started_timestamp"": 1788493181.5559847, ""activation_time_ms"": 28.211, ""cuda_initialization_ms"": null, ""endpoint_ready_ms"": 0.0, ""model_digest"": ""baf6a787fdffd633537aa2eb51cfd54cb93ff08e28040095462bb63daf552878"", ""model_load_ms"": 0.0, ""model_remote_download_ms"": 0.0, ""node"": ""spark"", ""node_state"": ""CACHED"", ""node_state_before"": ""ACTIVE"", ""ready_timestamp"": null, ""transition"": {""new_state"": ""CACHED"", ""node"": ""spark"", ""old_state"": ""ACTIVE"", ""physical_node"": ""etri-ser0002-cgnmsb"", ""reason"": ""method_setup:cached_on_demand:cache_prime"", ""timestamp"": 1788493181.5841744}, ""worker_lifecycle_note"": ""Ollama management daemon remains resident; inference runner is unloaded"", ""worker_start_ms"": 0.279, ""worker_stop_ms"": 26.781}], ""duration_ms"": 122.869, ""event"": ""method_configured"", ""method"": ""cached_on_demand"", ""started_timestamp"": 1788493181.535691, ""states"": {""agx"": ""CACHED"", ""nano"": ""ACTIVE"", ""spark"": ""CACHED""}, ""timestamp"": 1788493181.6585593}",,method_setup,burst,cached_on_demand,,,,,,,,,,,setup,,,,,1788493181.5351799,,,
True,1788493214.601467,1220.03,,,,,,,1220.029,activation,burst,cached_on_demand,,baf6a787fdffd633537aa2eb51cfd54cb93ff08e28040095462bb63daf552878,1213.35,0.0,,,agx,ACTIVE,CACHED,,workload,etri-ser0001-cg0msb,1788493215.821456,offload:nano->agx:predicted_improvement=0.691,activations,1788493215.8218572,,1.125,
True,1788493219.792516,1181.016,,,,,,,1181.013,activation,burst,cached_on_demand,,baf6a787fdffd633537aa2eb51cfd54cb93ff08e28040095462bb63daf552878,1173.177,0.0,,,spark,ACTIVE,CACHED,,workload,etri-ser0002-cgnmsb,1788493220.9733932,offload:agx->spark:predicted_improvement=0.565,activations,1788493220.9712136,,0.237,
,,,,True,1788493253.508041,54.918,1788493253.5629537,,,deactivation,burst,cached_on_demand,0.0,,,,54.211,,agx,CACHED,ACTIVE,,idle_release,etri-ser0001-cg0msb,,idle_timeout:30s,activations,1788493253.5631747,Ollama management daemon remains resident; inference runner is unloaded,0.309,54.211
,,,,,,,,,,,burst,cached_on_demand,,,,,,ACTIVE,agx,,,CACHED,,etri-ser0001-cg0msb,,offload:nano->agx:predicted_improvement=0.691,state-transitions,1788493215.821459,,,
,,,,,,,,,,,burst,cached_on_demand,,,,,,ACTIVE,spark,,,CACHED,,etri-ser0002-cgnmsb,,offload:agx->spark:predicted_improvement=0.565,state-transitions,1788493220.9733999,,,
,,,,,,,,,,,burst,cached_on_demand,,,,,,CACHED,agx,,,ACTIVE,,etri-ser0001-cg0msb,,idle_timeout:30s,state-transitions,1788493253.562932,,,
,,,,,,,,"{""actions"": [{""activation_required"": true, ""activation_started_timestamp"": 1788492765.4992259, ""activation_time_ms"": 260.74, ""cuda_initialization_ms"": null, ""endpoint_ready_ms"": 260.737, ""model_digest"": ""baf6a787fdffd633537aa2eb51cfd54cb93ff08e28040095462bb63daf552878"", ""model_load_ms"": 247.719, ""model_remote_download_ms"": 0.0, ""node"": ""nano"", ""node_state"": ""ACTIVE"", ""node_state_before"": ""COLD"", ""ready_timestamp"": 1788492765.7595692, ""transition"": {""new_state"": ""ACTIVE"", ""node"": ""nano"", ""old_state"": ""COLD"", ""physical_node"": ""etri-dev0001-jetorn"", ""reason"": ""method_setup:cached_on_demand"", ""timestamp"": 1788492765.7595828}, ""worker_start_ms"": 2.037}, {""activation_required"": false, ""node"": ""agx"", ""node_state"": ""CACHED"", ""node_state_before"": ""CACHED""}, {""activation_required"": true, ""activation_started_timestamp"": 1788493305.6907601, ""activation_time_ms"": 41.437, ""cuda_initialization_ms"": null, ""endpoint_ready_ms"": 0.0, ""model_digest"": ""baf6a787fdffd633537aa2eb51cfd54cb93ff08e28040095462bb63daf552878"", ""model_load_ms"": 0.0, ""model_remote_download_ms"": 0.0, ""node"": ""spark"", ""node_state"": ""CACHED"", ""node_state_before"": ""ACTIVE"", ""ready_timestamp"": null, ""transition"": {""new_state"": ""CACHED"", ""node"": ""spark"", ""old_state"": ""ACTIVE"", ""physical_node"": ""etri-ser0002-cgnmsb"", ""reason"": ""method_setup:cached_on_demand:cache_prime"", ""timestamp"": 1788493305.7321377}, ""worker_lifecycle_note"": ""Ollama management daemon remains resident; inference runner is unloaded"", ""worker_start_ms"": 0.884, ""worker_stop_ms"": 35.757}], ""duration_ms"": 138.672, ""event"": ""method_configured"", ""method"": ""cached_on_demand"", ""started_timestamp"": 1788493305.6740234, ""states"": {""agx"": ""CACHED"", ""nano"": ""ACTIVE"", ""spark"": ""CACHED""}, ""timestamp"": 1788493305.8126953}",,method_setup,repeated,cached_on_demand,,,,,,,,,,,setup,,,,,1788493305.6734986,,,
True,1788493343.5941105,1137.019,,,,,,,1137.018,activation,repeated,cached_on_demand,,baf6a787fdffd633537aa2eb51cfd54cb93ff08e28040095462bb63daf552878,1134.387,0.0,,,agx,ACTIVE,CACHED,,workload,etri-ser0001-cg0msb,1788493344.7310884,offload:nano->agx:predicted_improvement=0.698,activations,1788493344.7314951,,0.34,
True,1788493348.6985002,1191.686,,,,,,,1191.686,activation,repeated,cached_on_demand,,baf6a787fdffd633537aa2eb51cfd54cb93ff08e28040095462bb63daf552878,1189.209,0.0,,,spark,ACTIVE,CACHED,,workload,etri-ser0002-cgnmsb,1788493349.890162,offload:agx->spark:predicted_improvement=0.581,activations,1788493349.890443,,0.339,
,,,,True,1788493399.3316765,32.482,1788493399.364155,,,deactivation,repeated,cached_on_demand,0.0,,,,31.63,,spark,CACHED,ACTIVE,,idle_release,etri-ser0002-cgnmsb,,idle_timeout:30s,activations,1788493399.365611,Ollama management daemon remains resident; inference runner is unloaded,0.364,31.63
True,1788493407.6717908,1183.804,,,,,,,1183.801,activation,repeated,cached_on_demand,,baf6a787fdffd633537aa2eb51cfd54cb93ff08e28040095462bb63daf552878,1173.536,0.0,,,spark,ACTIVE,CACHED,,workload,etri-ser0002-cgnmsb,1788493408.8554816,offload:agx->spark:predicted_improvement=0.470,activations,1788493408.8573668,,0.332,
,,,,True,1788493458.066745,40.525,1788493458.1072533,,,deactivation,repeated,cached_on_demand,0.0,,,,36.94,,spark,CACHED,ACTIVE,,idle_release,etri-ser0002-cgnmsb,,idle_timeout:30s,activations,1788493458.1096838,Ollama management daemon remains resident; inference runner is unloaded,1.333,36.94
,,,,,,,,,,,repeated,cached_on_demand,,,,,,ACTIVE,agx,,,CACHED,,etri-ser0001-cg0msb,,offload:nano->agx:predicted_improvement=0.698,state-transitions,1788493344.7310913,,,
,,,,,,,,,,,repeated,cached_on_demand,,,,,,ACTIVE,spark,,,CACHED,,etri-ser0002-cgnmsb,,offload:agx->spark:predicted_improvement=0.581,state-transitions,1788493349.8901637,,,
,,,,,,,,,,,repeated,cached_on_demand,,,,,,CACHED,spark,,,ACTIVE,,etri-ser0002-cgnmsb,,idle_timeout:30s,state-transitions,1788493399.3641372,,,
,,,,,,,,,,,repeated,cached_on_demand,,,,,,ACTIVE,spark,,,CACHED,,etri-ser0002-cgnmsb,,offload:agx->spark:predicted_improvement=0.470,state-transitions,1788493408.855488,,,
,,,,,,,,,,,repeated,cached_on_demand,,,,,,CACHED,spark,,,ACTIVE,,etri-ser0002-cgnmsb,,idle_timeout:30s,state-transitions,1788493458.1071737,,,
