## 9. 전체 126개 조건 결과

- 시간 단위: 초 / 처리량: 출력 토큰/s
- 조건 표기: 입력 토큰 → 출력 토큰 / 한꺼번에 보내는 요청 수
- 중앙값·표본 p95: 대기 포함 / 표본 수: 같은 세션의 세 회차 합계
- p95는 작은 표본의 기술통계; 운영 보장값으로 해석 불가

### Orin Nano

| 모델 | 입력→출력 | 요청 수 | 표본 수 | 응답 중앙값 | 응답 p95 | 첫 응답 p95 | 출력 토큰/s |
| Qwen 2.5 0.5B | 2048→128 | 1 | 3 | 1.856 | 1.895 | 0.784 | 68.165 |
| Qwen 2.5 0.5B | 512→256 | 1 | 3 | 2.211 | 2.220 | 0.141 | 115.600 |
| Llama 3.2 1B | 512→128 | 1 | 3 | 2.077 | 2.123 | 0.177 | 61.169 |
| Llama 3.2 1B | 512→128 | 2 | 6 | 3.161 | 4.248 | 2.299 | 60.571 |
| Llama 3.2 1B | 512→128 | 4 | 12 | 5.288 | 8.470 | 6.537 | 60.501 |
| Llama 3.2 1B | 512→128 | 8 | 24 | 9.503 | 16.846 | 14.917 | 60.703 |
| Llama 3.2 1B | 128→64 | 1 | 3 | 1.021 | 1.026 | 0.047 | 62.284 |
| Llama 3.2 1B | 2048→128 | 1 | 3 | 3.037 | 3.043 | 0.990 | 42.013 |
| Llama 3.2 1B | 512→256 | 1 | 3 | 4.003 | 4.005 | 0.176 | 64.103 |
| Qwen 2.5 1.5B | 512→128 | 1 | 3 | 2.955 | 2.957 | 0.255 | 43.389 |
| Qwen 2.5 1.5B | 512→128 | 2 | 6 | 4.423 | 5.911 | 3.216 | 43.390 |
| Qwen 2.5 1.5B | 512→128 | 4 | 12 | 7.376 | 11.785 | 9.095 | 43.455 |
| Qwen 2.5 1.5B | 512→128 | 8 | 24 | 13.259 | 23.519 | 20.822 | 43.463 |
| Qwen 2.5 1.5B | 128→64 | 1 | 3 | 1.404 | 1.407 | 0.068 | 45.108 |
| Qwen 2.5 1.5B | 2048→128 | 1 | 3 | 4.017 | 4.031 | 1.208 | 31.808 |
| Qwen 2.5 1.5B | 512→256 | 1 | 3 | 5.632 | 5.638 | 0.256 | 45.530 |
| Gemma 2 2B | 512→128 | 1 | 3 | 5.864 | 6.392 | 1.950 | 21.142 |
| Gemma 2 2B | 512→128 | 2 | 6 | 9.162 | 12.387 | 7.991 | 21.349 |
| Gemma 2 2B | 512→128 | 4 | 12 | 14.706 | 23.393 | 19.006 | 21.927 |
| Gemma 2 2B | 512→128 | 8 | 24 | 26.405 | 46.360 | 41.957 | 21.943 |
| Gemma 2 2B | 128→64 | 1 | 3 | 2.745 | 2.868 | 0.710 | 22.898 |
| Gemma 2 2B | 2048→128 | 1 | 3 | 7.247 | 7.445 | 2.854 | 17.533 |
| Gemma 2 2B | 512→256 | 1 | 3 | 10.237 | 10.569 | 1.767 | 24.781 |
| Qwen 2.5 3B | 512→128 | 1 | 3 | 4.697 | 4.704 | 0.432 | 27.244 |
| Qwen 2.5 3B | 512→128 | 2 | 6 | 7.046 | 9.397 | 5.126 | 27.251 |
| Qwen 2.5 3B | 512→128 | 4 | 12 | 11.745 | 18.778 | 14.508 | 27.264 |
| Qwen 2.5 3B | 512→128 | 8 | 24 | 21.130 | 37.520 | 33.256 | 27.277 |
| Qwen 2.5 3B | 128→64 | 1 | 3 | 2.236 | 2.236 | 0.110 | 28.443 |
| Qwen 2.5 3B | 2048→128 | 1 | 3 | 6.497 | 6.512 | 2.040 | 19.673 |
| Qwen 2.5 3B | 512→256 | 1 | 3 | 8.981 | 8.995 | 0.429 | 28.511 |
| Llama 3.2 3B | 512→128 | 1 | 3 | 4.808 | 4.822 | 0.420 | 26.593 |
| Llama 3.2 3B | 512→128 | 2 | 6 | 7.214 | 9.651 | 5.238 | 26.586 |
| Llama 3.2 3B | 512→128 | 4 | 12 | 12.043 | 19.268 | 14.863 | 26.583 |
| Llama 3.2 3B | 512→128 | 8 | 24 | 21.656 | 38.481 | 34.089 | 26.586 |
| Llama 3.2 3B | 128→64 | 1 | 3 | 2.293 | 2.299 | 0.109 | 27.728 |
| Llama 3.2 3B | 2048→128 | 1 | 3 | 6.741 | 6.768 | 2.103 | 18.966 |
| Llama 3.2 3B | 512→256 | 1 | 3 | 9.234 | 9.255 | 0.423 | 27.724 |

### DGX Spark

| 모델 | 입력→출력 | 요청 수 | 표본 수 | 응답 중앙값 | 응답 p95 | 첫 응답 p95 | 출력 토큰/s |
|---|---|---:|---:|---:|---:|---:|---:|
| Qwen 2.5 0.5B | 512→128 | 1 | 3 | 0.462 | 0.465 | 0.045 | 276.771 |
| Qwen 2.5 0.5B | 512→128 | 2 | 6 | 0.700 | 0.943 | 0.517 | 273.543 |
| Qwen 2.5 0.5B | 512→128 | 4 | 12 | 1.161 | 1.869 | 1.448 | 274.844 |
| Qwen 2.5 0.5B | 512→128 | 8 | 24 | 2.094 | 3.714 | 3.291 | 275.403 |
| Qwen 2.5 0.5B | 128→64 | 1 | 3 | 0.227 | 0.229 | 0.012 | 280.065 |
| Qwen 2.5 0.5B | 2048→128 | 1 | 3 | 0.636 | 0.646 | 0.207 | 199.897 |
| Qwen 2.5 0.5B | 512→256 | 1 | 3 | 0.884 | 0.893 | 0.046 | 288.974 |
| Llama 3.2 1B | 512→128 | 1 | 3 | 0.859 | 0.879 | 0.058 | 147.729 |
| Llama 3.2 1B | 512→128 | 2 | 6 | 1.280 | 1.735 | 0.928 | 149.891 |
| Llama 3.2 1B | 512→128 | 4 | 12 | 2.118 | 3.396 | 2.595 | 150.935 |
| Llama 3.2 1B | 512→128 | 8 | 24 | 3.868 | 6.841 | 6.039 | 149.033 |
| Llama 3.2 1B | 128→64 | 1 | 3 | 0.416 | 0.425 | 0.016 | 152.984 |
| Llama 3.2 1B | 2048→128 | 1 | 3 | 1.120 | 1.147 | 0.293 | 113.194 |
| Llama 3.2 1B | 512→256 | 1 | 3 | 1.635 | 1.675 | 0.058 | 155.532 |
| Qwen 2.5 1.5B | 512→128 | 1 | 3 | 1.117 | 1.138 | 0.080 | 114.513 |
| Qwen 2.5 1.5B | 512→128 | 2 | 6 | 1.640 | 2.222 | 1.190 | 116.723 |
| Qwen 2.5 1.5B | 512→128 | 4 | 12 | 2.803 | 4.504 | 3.450 | 114.428 |
| Qwen 2.5 1.5B | 512→128 | 8 | 24 | 4.988 | 8.915 | 7.892 | 115.118 |
| Qwen 2.5 1.5B | 128→64 | 1 | 3 | 0.527 | 0.561 | 0.022 | 117.733 |
| Qwen 2.5 1.5B | 2048→128 | 1 | 3 | 1.450 | 1.454 | 0.345 | 89.091 |
| Qwen 2.5 1.5B | 512→256 | 1 | 3 | 2.195 | 2.219 | 0.082 | 116.859 |
| Gemma 2 2B | 512→128 | 1 | 3 | 2.021 | 2.029 | 0.289 | 64.194 |
| Gemma 2 2B | 512→128 | 2 | 6 | 2.909 | 3.941 | 2.212 | 65.571 |
| Gemma 2 2B | 512→128 | 4 | 12 | 4.915 | 7.870 | 6.172 | 65.200 |
| Gemma 2 2B | 512→128 | 8 | 24 | 8.809 | 15.616 | 13.921 | 65.604 |
| Gemma 2 2B | 128→64 | 1 | 3 | 0.961 | 0.968 | 0.120 | 66.492 |
| Gemma 2 2B | 2048→128 | 1 | 3 | 2.440 | 2.459 | 0.632 | 52.712 |
| Gemma 2 2B | 512→256 | 1 | 3 | 3.638 | 3.670 | 0.265 | 70.332 |
| Qwen 2.5 3B | 512→128 | 1 | 3 | 2.069 | 2.095 | 0.143 | 61.653 |
| Qwen 2.5 3B | 512→128 | 2 | 6 | 3.102 | 4.151 | 2.212 | 61.841 |
| Qwen 2.5 3B | 512→128 | 4 | 12 | 5.198 | 8.341 | 6.397 | 61.625 |
| Qwen 2.5 3B | 512→128 | 8 | 24 | 9.282 | 16.461 | 14.532 | 62.062 |
| Qwen 2.5 3B | 128→64 | 1 | 3 | 0.988 | 0.992 | 0.038 | 64.730 |
| Qwen 2.5 3B | 2048→128 | 1 | 3 | 2.610 | 2.637 | 0.607 | 48.949 |
| Qwen 2.5 3B | 512→256 | 1 | 3 | 4.028 | 4.054 | 0.140 | 63.598 |
| Llama 3.2 3B | 512→128 | 1 | 3 | 2.144 | 2.161 | 0.128 | 60.097 |
| Llama 3.2 3B | 512→128 | 2 | 6 | 3.178 | 4.262 | 2.255 | 60.275 |
| Llama 3.2 3B | 512→128 | 4 | 12 | 5.329 | 8.504 | 6.535 | 60.339 |
| Llama 3.2 3B | 512→128 | 8 | 24 | 9.492 | 16.927 | 14.937 | 60.496 |
| Llama 3.2 3B | 128→64 | 1 | 3 | 1.007 | 1.021 | 0.035 | 63.147 |
| Llama 3.2 3B | 2048→128 | 1 | 3 | 2.736 | 2.739 | 0.590 | 47.015 |
| Llama 3.2 3B | 512→256 | 1 | 3 | 4.130 | 4.191 | 0.129 | 61.892 |

